Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0003,2024/10/03 16:12,2024-10-03T16_12_00.000000000,00,318,010,0504,0028,0446,0528,
0002,2024/10/03 15:48,2024-10-03T15_48_00.000000000,02,093,020,0744,0565,0357,1736,
0001,2024/10/03 01:48,2024-10-03T01_48_00.000000000,01,073,008,0538,0399,0264,1220,
0040,2024/11/28 00:30,2024-11-28T00_30_00.000000000,03,062,010,0141,0019,0103,0151,
0039,2024/11/26 00:24,2024-11-26T00_24_00.000000000,02,155,016,0179,0172,0128,0559,
0038,2024/11/25 06:24,2024-11-25T06_24_00.000000000,02,326,042,0130,0005,0123,0142,
0037,2024/11/25 05:00,2024-11-25T05_00_00.000000000,02,311,008,0117,0007,0104,0121,
0036,2024/11/23 05:24,2024-11-23T05_24_00.000000000,01,127,012,0339,0054,0223,0347,
0035,2024/11/22 17:36,2024-11-22T17_36_00.000000000,02,126,010,0428,0045,0351,0459,
0034,2024/11/22 04:17,2024-11-22T04_17_00.000000000,01,203,016,0340,0104,0260,0572,
0033,2024/11/21 22:18,2024-11-21T22_18_00.000000000,01,040,006,0286,0123,0188,0512,
0032,2024/11/21 14:36,2024-11-21T14_36_00.000000000,02,133,016,0471,0296,0405,1107,
0031,2024/11/21 12:30,2024-11-21T12_30_00.000000000,01,280,030,0292,0033,0230,0332,
0030,2024/11/20 22:12,2024-11-20T22_12_00.000000000,03,269,040,0201,0086,0108,0419,
0029,2024/11/20 03:12,2024-11-20T03_12_00.000000000,02,039,008,0105,0010,0100,0126,
0028,2024/11/19 23:48,2024-11-19T23_48_00.000000000,04,019,008,0107,0017,0099,0139,
0027,2024/11/18 21:48,2024-11-18T21_48_00.000000000,01,116,014,0296,0102,0224,0520,
0026,2024/11/17 11:48,2024-11-17T11_48_00.000000000,04,143,032,0179,0034,0136,0242,
0025,2024/11/17 07:36,2024-11-17T07_36_00.000000000,03,151,044,0188,0037,0105,0228,
0024,2024/11/16 19:24,2024-11-16T19_24_00.000000000,00,077,008,0269,0027,0248,0322,
0023,2024/11/16 16:48,2024-11-16T16_48_00.000000000,01,080,014,0223,0033,0176,0274,
0022,2024/11/16 15:48,2024-11-16T15_48_00.000000000,01,335,008,0192,0029,0150,0228,
0021,2024/11/16 15:48,2024-11-16T15_48_00.000000000,05,314,030,0164,0026,0103,0206,
0020,2024/11/16 14:12,2024-11-16T14_12_00.000000000,01,268,010,0299,0036,0229,0317,
0019,2024/11/16 02:00,2024-11-16T02_00_00.000000000,01,280,018,0347,0179,0215,0679,
0018,2024/11/15 19:42,2024-11-15T19_42_00.000000000,01,304,010,0232,0022,0201,0265,
0017,2024/11/13 15:24,2024-11-13T15_24_00.000000000,00,050,018,0262,0058,0151,0312,
0016,2024/11/13 02:24,2024-11-13T02_24_00.000000000,01,309,008,0298,0028,0267,0345,
0015,2024/11/12 14:48,2024-11-12T14_48_00.000000000,05,292,038,0367,0142,0176,0679,
0014,2024/11/12 04:48,2024-11-12T04_48_00.000000000,02,166,006,0175,0012,0169,0200,
0013,2024/11/11 18:36,2024-11-11T18_36_00.000000000,00,057,008,0114,0007,0106,0127,
0012,2024/11/11 12:36,2024-11-11T12_36_00.000000000,02,200,018,0150,0023,0103,0188,
0011,2024/11/11 10:12,2024-11-11T10_12_00.000000000,02,205,012,0126,0000,0126,0126,
0010,2024/11/10 19:18,2024-11-10T19_18_00.000000000,02,207,040,0172,0033,0128,0258,
0009,2024/11/10 14:36,2024-11-10T14_36_00.000000000,01,243,020,0367,0096,0228,0568,
0008,2024/11/09 17:00,2024-11-09T17_00_00.000000000,01,103,008,0225,0021,0205,0252,
0007,2024/11/07 14:00,2024-11-07T14_00_00.000000000,01,230,006,0429,0275,0381,0976,
0006,2024/11/07 11:24,2024-11-07T11_24_00.000000000,01,227,016,0361,0010,0351,0383,
0005,2024/11/06 03:12,2024-11-06T03_12_00.000000000,01,239,008,0168,0000,0168,0168,
0004,2024/11/05 08:42,2024-11-05T08_42_00.000000000,01,100,010,0160,0006,0160,0172,
0003,2024/11/05 07:36,2024-11-05T07_36_00.000000000,02,094,026,0343,0000,0343,0343,
0002,2024/11/03 17:24,2024-11-03T17_24_00.000000000,01,258,010,0244,0052,0165,0325,
0001,2024/11/03 02:24,2024-11-03T02_24_00.000000000,03,352,010,0098,0027,0087,0155,
0049,2024/12/31 05:48,2024-12-31T05_48_00.000000000,01,302,018,0273,0059,0172,0385,
0048,2024/12/31 04:24,2024-12-31T04_24_00.000000000,01,307,008,0289,0086,0129,0325,
0047,2024/12/31 00:00,2024-12-31T00_00_00.000000000,01,275,008,0336,0024,0286,0351,
0046,2024/12/30 07:12,2024-12-30T07_12_00.000000000,01,199,012,0131,0018,0113,0170,
0045,2024/12/29 01:36,2024-12-29T01_36_00.000000000,01,175,028,0452,0000,0452,0452,
0044,2024/12/26 04:12,2024-12-26T04_12_00.000000000,00,138,006,0428,0000,0428,0428,
0043,2024/12/26 03:24,2024-12-26T03_24_00.000000000,01,077,012,0892,0000,0892,0892,
0042,2024/12/23 03:48,2024-12-23T03_48_00.000000000,01,208,006,0434,0024,0405,0466,
0041,2024/12/22 22:36,2024-12-22T22_36_00.000000000,04,350,010,0106,0005,0104,0117,
0040,2024/12/22 20:48,2024-12-22T20_48_00.000000000,01,157,016,0264,0052,0226,0339,
0039,2024/12/22 15:12,2024-12-22T15_12_00.000000000,00,157,020,0477,0079,0385,0651,
0038,2024/12/22 13:25,2024-12-22T13_25_00.000000000,02,328,022,0216,0140,0110,0459,
0037,2024/12/22 10:00,2024-12-22T10_00_00.000000000,01,095,016,0473,0122,0197,0529,
0036,2024/12/22 09:36,2024-12-22T09_36_00.000000000,01,045,012,0664,0500,0262,1631,
0035,2024/12/22 08:48,2024-12-22T08_48_00.000000000,02,190,022,0772,0591,0189,1953,
0034,2024/12/21 11:48,2024-12-21T11_48_00.000000000,01,189,008,0497,0193,0343,0844,
0033,2024/12/20 10:00,2024-12-20T10_00_00.000000000,01,199,024,0519,0230,0275,0844,
0032,2024/12/19 18:47,2024-12-19T18_47_00.000000000,01,164,010,0726,0000,0726,0726,
0031,2024/12/19 04:36,2024-12-19T04_36_00.000000000,01,292,006,0141,0036,0132,0214,
0030,2024/12/18 16:48,2024-12-18T16_48_00.000000000,01,249,008,0233,0117,0190,0440,
0029,2024/12/17 14:12,2024-12-17T14_12_00.000000000,00,047,012,0268,0028,0246,0328,
0028,2024/12/17 13:25,2024-12-17T13_25_00.000000000,00,032,034,0431,0084,0369,0625,
0027,2024/12/17 10:48,2024-12-17T10_48_00.000000000,01,108,006,0299,0058,0221,0357,
0026,2024/12/17 10:12,2024-12-17T10_12_00.000000000,02,047,008,0093,0000,0093,0093,
